,SAT_avg,ACT_avg,SAT/ACT_pct,DISTRICT
001902,19.7,19.7,19.7,001902
001903,21.7,21.7,21.7,001903
001904,18,18,18,001904
001906,21.8,21.8,21.8,001906
001907,20.3,20.3,20.3,001907
001908,20.6,20.6,20.6,001908
001909,19.7,19.7,19.7,001909
002901,20.3,20.3,20.3,002901
003801,.,.,.,003801
003902,19.6,19.6,19.6,003902
003903,18,18,18,003903
003904,19.7,19.7,19.7,003904
003905,17.9,17.9,17.9,003905
003906,18.8,18.8,18.8,003906
003907,19.1,19.1,19.1,003907
004901,19.8,19.8,19.8,004901
005901,19.7,19.7,19.7,005901
005902,21,21,21,005902
005903,-1,-1,-1,005903
005904,22,22,22,005904
006902,20.8,20.8,20.8,006902
007901,16.2,16.2,16.2,007901
007902,19.4,19.4,19.4,007902
007904,18.5,18.5,18.5,007904
007905,20.4,20.4,20.4,007905
007906,19.7,19.7,19.7,007906
008901,20.8,20.8,20.8,008901
008902,19.7,19.7,19.7,008902
008903,19.3,19.3,19.3,008903
009901,18.8,18.8,18.8,009901
010901,19.5,19.5,19.5,010901
010902,20.8,20.8,20.8,010902
011901,19.9,19.9,19.9,011901
011902,19.3,19.3,19.3,011902
011904,21.4,21.4,21.4,011904
011905,.,.,.,011905
012901,21.3,21.3,21.3,012901
013801,.,.,.,013801
013901,17.9,17.9,17.9,013901
013902,.,.,.,013902
013903,19.2,19.2,19.2,013903
013905,18.5,18.5,18.5,013905
014801,.,.,.,014801
014802,.,.,.,014802
014803,.,.,.,014803
014804,.,.,.,014804
014901,21.5,21.5,21.5,014901
014902,17.4,17.4,17.4,014902
014903,19.2,19.2,19.2,014903
014905,21.1,21.1,21.1,014905
014906,19.5,19.5,19.5,014906
014907,19.4,19.4,19.4,014907
014908,20,20,20,014908
014909,20.5,20.5,20.5,014909
014910,19.6,19.6,19.6,014910
015801,.,.,.,015801
015802,.,.,.,015802
015803,.,.,.,015803
015805,.,.,.,015805
015806,.,.,.,015806
015807,-1,-1,-1,015807
015808,.,.,.,015808
015809,.,.,.,015809
015810,.,.,.,015810
015811,.,.,.,015811
015812,.,.,.,015812
015813,.,.,.,015813
015814,.,.,.,015814
015815,.,.,.,015815
015816,.,.,.,015816
015817,.,.,.,015817
015818,.,.,.,015818
015819,.,.,.,015819
015820,.,.,.,015820
015822,-1,-1,-1,015822
015823,-1,-1,-1,015823
015824,.,.,.,015824
015825,.,.,.,015825
015826,.,.,.,015826
015901,22.3,22.3,22.3,015901
015904,17.9,17.9,17.9,015904
015905,16.8,16.8,16.8,015905
015906,22.3,22.3,22.3,015906
015907,16.9,16.9,16.9,015907
015908,18.3,18.3,18.3,015908
015909,19,19,19,015909
015910,21.8,21.8,21.8,015910
015911,20.4,20.4,20.4,015911
015912,19.5,19.5,19.5,015912
015913,22.5,22.5,22.5,015913
015914,20.6,20.6,20.6,015914
015915,20.7,20.7,20.7,015915
015916,20,20,20,015916
015917,17,17,17,015917
016901,19.8,19.8,19.8,016901
016902,19.9,19.9,19.9,016902
017901,22,22,22,017901
018901,19.4,19.4,19.4,018901
018902,18.2,18.2,18.2,018902
018903,-1,-1,-1,018903
018904,20.8,20.8,20.8,018904
018905,-1,-1,-1,018905
018906,-1,-1,-1,018906
018907,-1,-1,-1,018907
018908,-1,-1,-1,018908
019901,18.1,18.1,18.1,019901
019902,20.2,20.2,20.2,019902
019903,20.8,20.8,20.8,019903
019905,20.7,20.7,20.7,019905
019906,20.5,20.5,20.5,019906
