,SAT_avg,ACT_avg,SAT/ACT_pct,DISTRICT
001902,18.4,18.4,18.4,001902
001903,20.8,20.8,20.8,001903
001904,19.6,19.6,19.6,001904
001906,18.9,18.9,18.9,001906
001907,20.8,20.8,20.8,001907
001908,20.7,20.7,20.7,001908
001909,22.8,22.8,22.8,001909
002901,19,19,19,002901
003801,.,.,.,003801
003902,18.7,18.7,18.7,003902
003903,19.1,19.1,19.1,003903
003904,17.6,17.6,17.6,003904
003905,18.3,18.3,18.3,003905
003906,-1,-1,-1,003906
003907,-1,-1,-1,003907
004901,19.8,19.8,19.8,004901
005901,21.3,21.3,21.3,005901
005902,21.3,21.3,21.3,005902
005904,21.6,21.6,21.6,005904
006902,21.6,21.6,21.6,006902
007901,18.3,18.3,18.3,007901
007902,21.6,21.6,21.6,007902
007904,17.3,17.3,17.3,007904
007905,20.4,20.4,20.4,007905
007906,18.8,18.8,18.8,007906
008901,22.7,22.7,22.7,008901
008902,20.6,20.6,20.6,008902
008903,17.2,17.2,17.2,008903
009901,19.8,19.8,19.8,009901
010901,18,18,18,010901
010902,22.7,22.7,22.7,010902
011901,18.5,18.5,18.5,011901
011902,19.8,19.8,19.8,011902
011904,20.3,20.3,20.3,011904
011905,.,.,.,011905
012901,20.8,20.8,20.8,012901
013801,.,.,.,013801
013901,19.3,19.3,19.3,013901
013902,.,.,.,013902
013903,17.8,17.8,17.8,013903
013905,19.3,19.3,19.3,013905
014801,.,.,.,014801
014802,-1,-1,-1,014802
014803,.,.,.,014803
014804,.,.,.,014804
014901,21.2,21.2,21.2,014901
014902,19.2,19.2,19.2,014902
014903,22.7,22.7,22.7,014903
014905,19.1,19.1,19.1,014905
014906,19.2,19.2,19.2,014906
014907,21.9,21.9,21.9,014907
014908,21.3,21.3,21.3,014908
014909,22.9,22.9,22.9,014909
014910,20.8,20.8,20.8,014910
015801,.,.,.,015801
015802,17.7,17.7,17.7,015802
015803,.,.,.,015803
015805,.,.,.,015805
015806,16.3,16.3,16.3,015806
015807,.,.,.,015807
015808,.,.,.,015808
015809,.,.,.,015809
015811,.,.,.,015811
015812,.,.,.,015812
015813,.,.,.,015813
015814,.,.,.,015814
015815,-1,-1,-1,015815
015816,.,.,.,015816
015817,-1,-1,-1,015817
015819,-1,-1,-1,015819
015820,.,.,.,015820
015822,-1,-1,-1,015822
015823,.,.,.,015823
015824,.,.,.,015824
015825,.,.,.,015825
015826,.,.,.,015826
015827,.,.,.,015827
015828,.,.,.,015828
015830,.,.,.,015830
015831,.,.,.,015831
015832,.,.,.,015832
015833,.,.,.,015833
015901,24.6,24.6,24.6,015901
015904,17.3,17.3,17.3,015904
015905,16.1,16.1,16.1,015905
015906,21.5,21.5,21.5,015906
015907,17.2,17.2,17.2,015907
015908,18.4,18.4,18.4,015908
015909,17.3,17.3,17.3,015909
015910,22,22,22,015910
015911,20.2,20.2,20.2,015911
015912,18.1,18.1,18.1,015912
015913,20.9,20.9,20.9,015913
015914,21.8,21.8,21.8,015914
015915,21.1,21.1,21.1,015915
015916,20.1,20.1,20.1,015916
015917,18.2,18.2,18.2,015917
016901,21.1,21.1,21.1,016901
016902,22.3,22.3,22.3,016902
017901,18,18,18,017901
018901,23.2,23.2,23.2,018901
018902,18.4,18.4,18.4,018902
018903,.,.,.,018903
018904,18.9,18.9,18.9,018904
018905,-1,-1,-1,018905
018906,-1,-1,-1,018906
018907,18.2,18.2,18.2,018907
018908,-1,-1,-1,018908
019901,19.5,19.5,19.5,019901
019902,19.1,19.1,19.1,019902
019903,19.4,19.4,19.4,019903
019905,20.7,20.7,20.7,019905
019906,21.4,21.4,21.4,019906
019907,20,20,20,019907
019908,19.1,19.1,19.1,019908
019909,18.6,18.6,18.6,019909
019910,.,.,.,019910
019911,.,.,.,019911
019912,22.5,22.5,22.5,019912
019913,.,.,.,019913
019914,.,.,.,019914
020901,20.6,20.6,20.6,020901
020902,20.5,20.5,20.5,020902
020904,23.2,23.2,23.2,020904
020905,22.2,22.2,22.2,020905
020906,21.5,21.5,21.5,020906
