,SAT_avg,ACT_avg,SAT/ACT_pct,DISTRICT
001902,21.4,21.4,21.4,001902
001903,21.3,21.3,21.3,001903
001904,17.3,17.3,17.3,001904
001906,-1,-1,-1,001906
001907,20.2,20.2,20.2,001907
001908,17.2,17.2,17.2,001908
001909,-1,-1,-1,001909
002901,22.9,22.9,22.9,002901
003801,.,.,.,003801
003902,21.8,21.8,21.8,003902
003903,19.6,19.6,19.6,003903
003904,21,21,21,003904
003905,19,19,19,003905
003906,.,.,.,003906
003907,19.1,19.1,19.1,003907
004901,19.6,19.6,19.6,004901
005901,22.9,22.9,22.9,005901
005902,22.5,22.5,22.5,005902
005904,21,21,21,005904
006902,21.1,21.1,21.1,006902
007901,16.8,16.8,16.8,007901
007902,19.9,19.9,19.9,007902
007904,17.6,17.6,17.6,007904
007905,21,21,21,007905
007906,19.3,19.3,19.3,007906
008901,23.3,23.3,23.3,008901
008902,19.4,19.4,19.4,008902
008903,16.8,16.8,16.8,008903
009901,19.9,19.9,19.9,009901
010901,20.2,20.2,20.2,010901
010902,20.7,20.7,20.7,010902
011901,20.8,20.8,20.8,011901
011902,19.4,19.4,19.4,011902
011904,20.7,20.7,20.7,011904
011905,.,.,.,011905
012901,21.7,21.7,21.7,012901
013801,.,.,.,013801
013901,17.8,17.8,17.8,013901
013902,.,.,.,013902
013903,16.8,16.8,16.8,013903
013905,18.6,18.6,18.6,013905
014801,.,.,.,014801
014802,-1,-1,-1,014802
014803,.,.,.,014803
014804,.,.,.,014804
014901,20.6,20.6,20.6,014901
014902,-1,-1,-1,014902
014903,22.3,22.3,22.3,014903
014905,20.3,20.3,20.3,014905
014906,19.8,19.8,19.8,014906
014907,20.4,20.4,20.4,014907
014908,22.4,22.4,22.4,014908
014909,22.5,22.5,22.5,014909
014910,20.7,20.7,20.7,014910
015801,.,.,.,015801
015802,-1,-1,-1,015802
015803,.,.,.,015803
015805,.,.,.,015805
015806,-1,-1,-1,015806
015807,.,.,.,015807
015808,.,.,.,015808
015809,.,.,.,015809
015812,.,.,.,015812
015814,.,.,.,015814
015815,.,.,.,015815
015816,.,.,.,015816
015817,-1,-1,-1,015817
015819,.,.,.,015819
015820,.,.,.,015820
015822,15.6,15.6,15.6,015822
015823,.,.,.,015823
015824,.,.,.,015824
015825,.,.,.,015825
015826,.,.,.,015826
015827,-1,-1,-1,015827
015828,.,.,.,015828
015830,21.9,21.9,21.9,015830
015831,.,.,.,015831
015832,.,.,.,015832
015833,.,.,.,015833
015901,24.2,24.2,24.2,015901
015904,17.1,17.1,17.1,015904
015905,15.8,15.8,15.8,015905
015906,24.3,24.3,24.3,015906
015907,16.5,16.5,16.5,015907
015908,18.2,18.2,18.2,015908
015909,17.9,17.9,17.9,015909
015910,22.3,22.3,22.3,015910
015911,19.9,19.9,19.9,015911
015912,18.7,18.7,18.7,015912
015913,22.8,22.8,22.8,015913
015914,23,23,23,015914
015915,21.4,21.4,21.4,015915
015916,19.5,19.5,19.5,015916
015917,16.9,16.9,16.9,015917
016901,21.4,21.4,21.4,016901
016902,20.4,20.4,20.4,016902
017901,21.3,21.3,21.3,017901
018901,20.8,20.8,20.8,018901
018902,18.2,18.2,18.2,018902
018903,.,.,.,018903
018904,21,21,21,018904
018905,18.6,18.6,18.6,018905
018906,-1,-1,-1,018906
