,SAT_avg,ACT_avg,SAT/ACT_pct,DISTRICT
001902,-1,-1,-1,001902
001903,17.8,17.8,17.8,001903
001904,21.2,21.2,21.2,001904
001906,21.9,21.9,21.9,001906
001907,21.2,21.2,21.2,001907
001908,19.9,19.9,19.9,001908
001909,21,21,21,001909
002901,20.8,20.8,20.8,002901
003801,.,.,.,003801
003902,19.8,19.8,19.8,003902
003903,17.2,17.2,17.2,003903
003904,-1,-1,-1,003904
003905,17.1,17.1,17.1,003905
003906,19.2,19.2,19.2,003906
003907,20.6,20.6,20.6,003907
004901,21.2,21.2,21.2,004901
005901,19.5,19.5,19.5,005901
005902,23.7,23.7,23.7,005902
005904,21.6,21.6,21.6,005904
006902,20,20,20,006902
007901,19.4,19.4,19.4,007901
007902,18.5,18.5,18.5,007902
007904,17.3,17.3,17.3,007904
007905,19.8,19.8,19.8,007905
007906,17.9,17.9,17.9,007906
008901,22.6,22.6,22.6,008901
008902,19.9,19.9,19.9,008902
008903,16.6,16.6,16.6,008903
009901,20.1,20.1,20.1,009901
010901,18.7,18.7,18.7,010901
010902,21.6,21.6,21.6,010902
011901,18.9,18.9,18.9,011901
011902,18.5,18.5,18.5,011902
011904,20.8,20.8,20.8,011904
011905,.,.,.,011905
012901,21.9,21.9,21.9,012901
013801,.,.,.,013801
013901,18.6,18.6,18.6,013901
013902,.,.,.,013902
013903,18.8,18.8,18.8,013903
013905,18.9,18.9,18.9,013905
014801,.,.,.,014801
014802,-1,-1,-1,014802
014803,.,.,.,014803
014804,.,.,.,014804
014901,21.4,21.4,21.4,014901
014902,-1,-1,-1,014902
014903,18.3,18.3,18.3,014903
014905,20.7,20.7,20.7,014905
014906,19.4,19.4,19.4,014906
014907,20.4,20.4,20.4,014907
014908,22.1,22.1,22.1,014908
014909,22.6,22.6,22.6,014909
014910,21,21,21,014910
015801,.,.,.,015801
015802,.,.,.,015802
015803,.,.,.,015803
015805,.,.,.,015805
015806,14.6,14.6,14.6,015806
015807,-1,-1,-1,015807
